met,njets,nbjets,nnonbjets,top1mass,sumet,antikt8m0,antikt8m1,antikt12m0,antikt12m1,drbb
412.8053283691406,2,6,4,161.63670349121094,1403.66748046875,141.69781494140625,72.38835144042969,141.69781494140625,149.71087646484375,1.5810967683792114,0
475.8255920410156,2,9,7,-337.61602783203125,1309.383056640625,159.80091857910156,145.2261199951172,591.278076171875,0.8126869797706604,0.6730625629425049,0
495.5093078613281,2,6,4,-407.14398193359375,1517.8143310546875,160.40621948242188,76.15756225585938,160.40621948242188,76.15756225585938,2.075711488723755,0
431.3471984863281,3,9,6,-187.0970916748047,1289.9605712890625,194.4730682373047,73.85152435302734,194.4730682373047,261.76165771484375,2.67571759223938,0
431.50115966796875,2,7,5,154.47402954101562,2222.40966796875,133.76742553710938,62.533321380615234,133.76742553710938,305.1776123046875,1.4171504974365234,0
436.1311340332031,2,7,5,111.86568450927734,1808.5240478515625,312.6382141113281,217.20684814453125,535.7144165039062,217.20684814453125,1.0247236490249634,0
438.2862243652344,3,6,3,134.65489196777344,1285.0008544921875,132.5616455078125,94.18732452392578,132.5616455078125,94.18732452392578,0.5240929126739502,0
631.099609375,2,7,5,-256.2957763671875,1541.21826171875,220.3089599609375,69.10392761230469,478.957763671875,18.601919174194336,0.5096823573112488,0
404.6565246582031,2,9,7,-57.79770278930664,1885.6329345703125,141.68646240234375,164.1879425048828,549.1731567382812,141.68646240234375,0.5756407976150513,0
505.385986328125,2,9,7,171.1859130859375,1728.101318359375,247.2496795654297,146.61253356933594,247.2496795654297,181.5550994873047,0.6028507947921753,0
524.4036865234375,2,7,5,-198.0765380859375,1337.6846923828125,67.42703247070312,145.1536407470703,271.98284912109375,145.1536407470703,1.5053284168243408,0
798.3505859375,2,7,5,138.09068298339844,3602.18896484375,178.63272094726562,149.96510314941406,178.63272094726562,149.96510314941406,1.8710789680480957,0
415.7290954589844,2,7,5,-165.81797790527344,2174.857421875,81.52322387695312,61.41438674926758,321.1336364746094,133.55052185058594,2.246119260787964,0
487.8829040527344,2,9,7,139.82406616210938,1385.3172607421875,185.7931671142578,90.34351348876953,486.5472106933594,25.904041290283203,1.0745288133621216,0
452.5147705078125,2,6,4,-215.71434020996094,1414.6405029296875,88.03885650634766,85.78337860107422,318.0750427246094,85.78337860107422,0.5074304938316345,0
735.7405395507812,2,8,6,-357.3827819824219,1638.1021728515625,127.13856506347656,65.30735778808594,187.835205078125,16.37418556213379,0.7398597598075867,0
455.1166076660156,2,5,3,97.1788558959961,1682.9754638671875,216.7766876220703,157.41043090820312,411.0721130371094,216.7766876220703,0.7078119516372681,0
838.1444091796875,2,6,4,-2566.136474609375,4085.765625,429.36865234375,429.8748474121094,429.36865234375,429.8748474121094,0.5958006978034973,0
479.1573486328125,2,6,4,-1424.15625,1416.332275390625,180.93948364257812,83.48494720458984,180.93948364257812,83.48494720458984,1.1752749681472778,0
442.1630859375,2,10,8,32.63118362426758,1965.61669921875,297.7543640136719,72.24068450927734,297.7543640136719,72.24068450927734,0.6696898341178894,0
463.8362121582031,2,5,3,-1031.874755859375,1463.7587890625,166.234375,62.00376892089844,355.2442626953125,62.00376892089844,1.0786669254302979,0
413.03271484375,2,5,3,-519.5667724609375,718.8546142578125,87.89802551269531,60.216617584228516,240.86917114257812,0.0,0.9220929145812988,0
423.212158203125,2,6,4,-609.3153076171875,988.0271606445312,162.7354278564453,73.06995391845703,162.7354278564453,73.06995391845703,2.1442205905914307,0
675.471435546875,2,7,5,-355.1442565917969,1072.353271484375,171.31532287597656,61.29908752441406,171.31532287597656,187.7058868408203,0.5857905745506287,0
511.96722412109375,2,7,5,-295.9619445800781,873.8739624023438,78.83026123046875,87.71922302246094,188.31674194335938,164.05364990234375,0.7281389236450195,0
558.6734619140625,2,5,3,145.29296875,784.94775390625,110.0755844116211,69.10928344726562,316.6565856933594,0.0,0.48720383644104004,0
602.4503784179688,2,7,5,-162.32022094726562,1089.3592529296875,79.24091339111328,81.9172592163086,178.10433959960938,113.83289337158203,1.199995517730713,0
569.875,2,5,3,-167.56396484375,1107.9287109375,138.07473754882812,79.52388000488281,138.07473754882812,79.52388000488281,1.7780905961990356,0
464.8896484375,2,6,4,-52.96529006958008,921.3699340820312,191.1859893798828,67.75019073486328,191.1859893798828,67.75019073486328,0.5340082049369812,0
529.06689453125,2,10,8,162.4888458251953,1782.474365234375,164.6348114013672,132.42018127441406,263.83245849609375,164.6348114013672,0.47132834792137146,0
