cut,W,Z,top,ttV,single top,total background,signal,significance
0,3561.43866366148,3478.299379348755,11357.671107411385,1355.610319036059,3156.418341577053,22909.437672138214,2.0453604012727737,-0.09928248265524293
100,3561.43866366148,3478.299379348755,11357.671107411385,1355.610319036059,3156.418341577053,22909.437672138214,2.0453604012727737,-0.09928248265524293
200,3561.43866366148,3478.299379348755,11357.671107411385,1355.610319036059,3156.418341577053,22909.437672138214,2.0453604012727737,-0.09928248265524293
300,3561.43866366148,3478.299379348755,11357.671107411385,1355.610319036059,3156.418341577053,22909.437672138214,2.0453604012727737,-0.09928248265524293
400,3561.43866366148,3478.299379348755,11357.671107411385,1355.610319036059,3156.418341577053,22909.437672138214,2.0453604012727737,-0.09928248265524293
500,3561.43866366148,3478.299379348755,11356.502927422523,1355.610319036059,3155.616611599922,22907.467762231827,2.0453604012727737,-0.0992824314566013
600,3553.363848865032,3451.1022398471832,11341.308237195015,1353.3679981706664,3151.610402703285,22850.752586603165,2.0453604012727737,-0.09928095255774223
700,3535.6822144389153,3371.2128450870514,11248.982984662056,1332.6481428621337,3125.9631468057632,22614.489189386368,2.0453604012727737,-0.099274712387748
800,3445.6098172068596,3241.1630671024323,11060.82056248188,1291.8216352937743,3058.266209244728,22097.681144952774,1.9117679595947266,-0.09930098409622826
900,3283.8464581370354,3079.1507074832916,10576.965459942818,1203.3664427278563,2947.8896909952164,21091.218590021133,1.9117679595947266,-0.09927343873867063
1000,3043.1184155344963,2813.844089746475,9744.814092755318,1089.6477995393798,2785.2394148111343,19476.66365838051,1.62575763463974,-0.0993213978336092
1100,2717.802650153637,2576.8358805179596,8594.818304181099,897.4144850252196,2552.060139298439,17338.93123650551,1.3585727512836456,-0.09935567516316617
1200,2384.0488964915276,2224.709553003311,7228.568853497505,727.8223753450438,2270.0266157388687,14835.176231622696,1.3585727512836456,-0.09926752095158597
1300,2068.0923382639885,1875.1109354496002,5937.115606427193,557.1169538972899,1963.9532514810562,12401.389000177383,1.3585727512836456,-0.09914778262152373
1400,1798.5987469553947,1581.501987695694,4843.169866681099,433.7555761812255,1659.9807173013687,10317.006798028946,1.159392386674881,-0.09912925559462497
